,Номенклатура,КлассТовара
1839,"Наушники Philips SHE3680 [вкладыши, закрытые,10-23500Гц, кабель 1,2м, штекер 3.5мм]",Наиболее продаваемый
1840,Память USB 2.0 Flash Kingston 4 Gb DataTraveler DTIG3/4GB,Наиболее продаваемый
1841,"Проходной адаптер 5Bites [RJ45, 8P8C, кат. 5е, пластик, белый]",Наиболее продаваемый
1842,Мышь беспроводная Logitech Wireless Mouse M195 (910-001999) USB,Наиболее продаваемый
1843,Футляр для 2 DVD ,Наиболее продаваемый
1844,"Кабель HDMI (M) - HDMI (M) DNS/Airtone, 3м. [вер. 1.4, Высокоскоростной, С оплеткой, Ethernet], [120861]",Наиболее продаваемый
1845,"Кабель USB2.0 A (вилка) - B (вилка), 3m",Наиболее продаваемый
1846,Мышь проводная A4Tech X6-60D Laser USB ,Наиболее продаваемый
1847,Память USB 2.0 Flash DRIVE  2 Gb,Наиболее продаваемый
1848,Память Trans Flash (microSDHC) 8 Gb  class 10,Наиболее продаваемый
1849,Память DIMM DDR2 2048MB PC6400 800MHz,Наиболее продаваемый
1850,"Батарейка Duracell Basic [AAA, Щелочная, 4 шт.]",Наиболее продаваемый
1851,"Наушники Philips SHS5200 [накладные, открытые, 12- 24000 Гц, затылочная дужка, каб 1,5м, разъем 3.5мм, черные]",Наиболее продаваемый
1852,Чернила Colouring для устройств Canon/Epson/HP/Lexmark универсальные Black (100 мл) (Совм.),Наиболее продаваемый
1853,"ПО ""Антивирус Касперского"" версия 2012, продление лицензии на 2 ПК, на 1 год [KL1143ROBFR]",Наиболее продаваемый
1854,Память DIMM DDR3 4096MB PC10666 1333MHz Kingston [KVR1333D3N9/4G] Retail,Наиболее продаваемый
1855,"Батарейка Duracell Turbo Max [AA, Щелочная, 2 шт.]",Наиболее продаваемый
1856,Сетевая карта D-Link DFE-520TX 10/100 MBps PCI,Наиболее продаваемый
1857,Память DIMM DDR2 2048MB PC6400 800MHz на чипах Hynix,Наиболее продаваемый
1858,"Аккумулятор ""AAA"" PLEOMAX 1000mAh [HR03-2BL] 2шт.",Наиболее продаваемый
1859,Память USB 2.0 Flash Kingston 4 Gb DataTraveler DT101G2/4GB,Наиболее продаваемый
1860,"Батарейка ""AAA"" PLEOMAX [R03-2BL, солевая] 2шт.",Наиболее продаваемый
1861,"Память USB Flash Transcend JetFlash 300 [2.0, 16 Gb, пластик, черный]",Наиболее продаваемый
1862,Диск  DVD-R 1.4Gb Jewel Case (Verbatim) 8 см,Наиболее продаваемый
1863,Память Kingston (SDHC) 4 Gb SD4/4GB,Наиболее продаваемый
1864,Память DIMM DDR3 2048MB PC10600 1333MHz Samsung orig.,Наиболее продаваемый
1865,"Салфетки в мягкой упаковке Konoos [ЖК-экраны, 15 шт] мини-упаковка",Наиболее продаваемый
1866,"Карта памяти Transcend [SDHC, Class 10, 8 Gb, 20 Mb/s]",Наиболее продаваемый
1867,Патч-корд UTP кат. 5/5e. Длина  1m,Наиболее продаваемый
1868,"Наушники SVEN SEB 10 BK [вставные (затычки), закрытые, 20-20000 Гц, каб. 1.1м, разъем 3.5мм, черные]",Наиболее продаваемый
1869,"ПО ""Антивирус Касперского"" версия 2012, лицензия на 2 ПК, на 1 год [KL1143RBBFS, KL1143RXBFS]",Наиболее продаваемый
1870,Память DIMM DDR 1024MB PC3200 400MHz,Наиболее продаваемый
1871,Футляр для 1 DVD чёрный,Наиболее продаваемый
1872,"Карта памяти Transcend [microSD, Class 10, 2 Gb, 10 Mb/s]",Наиболее продаваемый
1873,Диск CD-R 700 Mb  Shrink Wrap 10 шт. (Verbatim) 52x,Наиболее продаваемый
1874,Лицензия Microsoft Windows 7 Home Premium 32-bit/64-bit Русская версия DOEM DVD (наклейка GFC-01057+право),Наиболее продаваемый
1875,Принтер HP LaserJet Pro P1102  (A4  600x600dpi  18ppm  266MHz  2Мb  USB2.0),Наиболее продаваемый
1876,Диск DVD-R 4.7Gb Shrink Wrap 10 шт. (Verbatim) 16x,Наиболее продаваемый
1877,"Карта памяти Transcend [SDHC, Class 10, 16 Gb, 30 Mb/s]",Наиболее продаваемый
1878,"Батарейка Duracell Turbo Max [AA, Щелочная, 4 шт.]",Наиболее продаваемый
1879,Диск  DVD-R 4.7Gb Slim Case (Verbatim) 16x,Наиболее продаваемый
1880,Лицензия Microsoft Windows 7 Starter 32-bit Russian CIS and Georgia COA ORY OEI PC [GJC-00238],Наиболее продаваемый
1881,Память DIMM DDR3 4096MB PC10666 1333Mhz Hynix orig.,Наиболее продаваемый
1882,Память Secure Digital Memory Card 8 Gb (SDHC) class 6,Наиболее продаваемый
1883,Термопаста Titan TTG-G30015 в шприце 1.5 гр,Наиболее продаваемый
1884,"Набор DNS/AirTone Screen Clean [оптические поверхности, 100 мл, микрофибра, 25х25см]",Наиболее продаваемый
1885,"Кабель HDMI (M) - HDMI (M) DNS/Airtone, 1,8 м. [вер. 1.4, Высокоскоростной, С оплеткой, Ethernet], [120860]",Наиболее продаваемый
1886,"Батарейка Duracell [CR2032, Литиевая, 1 шт.]",Наиболее продаваемый
1887,"Карта памяти Transcend [microSDHC, Class 10, 8 Gb, 20 Mb/s]",Наиболее продаваемый
1888,"Батарейка Pleomax [AA, Щелочная, 2 шт.]",Наиболее продаваемый
1889,МФУ HP LaserJet Pro M1132  (CE847A  Лазерный принтер/ Копир/ Сканер:  A4  600x600dpi  18ppm  400MHz  8Mb  USB2.0),Наиболее продаваемый
1890,Диск  DVD+RW 4.7Gb Slim Case (TDK)  4x,Наиболее продаваемый
1891,"Диск  DVD+R 4.7Gb Slim Case (VS) 16x, Printable",Наиболее продаваемый
1892,Мышь проводная Logitech M90 Mouse (910-001794/910-001793) USB,Наиболее продаваемый
1893,"Батарейка Duracell Basic [""AA""/LR6/ 4 шт.]",Наиболее продаваемый
1894,Память Secure Digital Memory Card 2 Gb,Наиболее продаваемый
1895,Память USB 2.0 Flash Transcend 8 Gb JetFlash 600 High-Speed,Наиболее продаваемый
1896,Патч-корд UTP кат. 5/5e. Длина  2m,Наиболее продаваемый
1897,Маршрутизатор TP-LINK TL-WR741ND 4x10/100Base-TX + 802.11n (до 150Mbit/s) + 1xWAN 1x1 MIMO,Наиболее продаваемый
1898,Веб-камера Logitech Webcam C170 640x480 Mic USB,Наиболее продаваемый
1899,Переходник DVI-I --> VGA(15F),Наиболее продаваемый
1900,Мышь проводная Genius NetScroll 100 Black-Silver Optical USB,Наиболее продаваемый
1901,Коврик Defender Silver opti-laser 180x220,Наиболее продаваемый
1902,"Кабель USB2.0 A (вилка) - B (вилка), 1.8/1.5m, Belsis  [BW1411/BW1410/SN1090/BWSS10]",Наиболее продаваемый
1903,Память Trans Flash (microSDHC) 8 Gb  class 6,Наиболее продаваемый
1904,"Адаптер беспроводной D-Link DWA-125 Wireless 150 USB2.0 802.11n, до 150Mbit/s",Наиболее продаваемый
1905,Память USB 2.0 Flash Kingston 8 Gb DataTraveler DT101G2,Наиболее продаваемый
1906,Память Secure Digital Memory Card 8 Gb (SDHC) class 10,Наиболее продаваемый
1907,Микрофон Genius MIC-01A [на ножке],Наиболее продаваемый
1908,Мышь беспроводная Logitech Wireless Mouse M185 Black (910-002238) USB,Наиболее продаваемый
1909,"Батарейка Duracell Turbo Max [AAA, Щелочная, 2 шт.]",Наиболее продаваемый
1910,Память USB 2.0 Flash Transcend 16 Gb JetFlash 600 High-Speed,Наиболее продаваемый
1911,Патч-корд UTP кат. 5/5e. Длина 10m,Наиболее продаваемый
1912,Память DIMM DDR3 2048MB PC10666 1333MHz Kingston [KVR1333D3N9/2G / KVR1333D3S8N9/2G] Retail,Наиболее продаваемый
1913,Жесткий диск SATA-3  500Gb Seagate 7200 Barracuda [ST3500413AS/ST500DM002] Cache 16MB,Наиболее продаваемый
1914,Память Secure Digital Memory Card 16 Gb (SDHC) class 10,Наиболее продаваемый
1915,Патч-корд UTP кат. 5/5e. Длина  3m,Наиболее продаваемый
1916,Мышь беспроводная Logitech Wireless Mouse M235 Colt Matte (nauru) (910-002203) USB,Наиболее продаваемый
1917,"Память USB Flash Transcend JetFlash 300 [2.0, 8 Gb, пластик, черный]",Наиболее продаваемый
1918,Память Kingston (microSD) 2 Gb,Наиболее продаваемый
1919,Веб-камера Logitech Webcam C210 640х480 [960-000657/656] Mic USB,Наиболее продаваемый
1920,Веб-камера Logitech Webcam C110 640x480 [960-000754] Mic USB,Наиболее продаваемый
1921,"Карта памяти Kingston [microSDHC, Class 4, 8 Gb, 4 Mb/s]",Наиболее продаваемый
1922,"ПО ""Kaspersky Internet Security"" версия 2012, лицензия на 2 ПК, на 1 год [KL1843RBBFS, KL1843RXBFS]",Наиболее продаваемый
1923,Диск  DVD-RW 4.7Gb Slim Case (VS)  4x,Наиболее продаваемый
1924,"Кабель USB 2.0 A (M) - USB A (F), 1,8m, Gembird [CC-USB2-AMAF-6] Белый",Наиболее продаваемый
1925,"Диск  DVD+R 8.5Gb Slim Case (VS) 8x, Double Layer, Printable",Наиболее продаваемый
1926,Футляр для 1 CD slim прозрачный,Наиболее продаваемый
1927,Переходник питания Molex->SATA,Наиболее продаваемый
1928,Диск CD-RW 700 Mb Slim Case (VS) 4х-12x,Наиболее продаваемый
1929,"Батарейка Pleomax [CR2032, Литиевая, 1 шт.]",Наиболее продаваемый
1930,"Карта памяти Transcend [microSDHC, Class 4, 4 Gb, 4 Mb/s]",Наиболее продаваемый
1931,"Кабель питания NoName CEE 7/7 (M) - IEC C13 [«Блок питания»/1,8 m/(Черный)]",Наиболее продаваемый
1932,Диск  DVD-R 4.7Gb Slim Case (TDK) 16x,Наиболее продаваемый
1933,Патч-корд UTP кат. 5/5e. Длина  5m,Наиболее продаваемый
1934,"Кабель телефонный, 1 метр",Наиболее продаваемый
1935,"Кабель удлинительный USB 2.0 А вилка - А розетка, 1.5/1.8m, Belsis [BW1400/BW1401/SN1092]",Наиболее продаваемый
1936,Диск DVD+RW 4.7Gb Slim Case (VS) 4x,Наиболее продаваемый
1937,Память DIMM DDR3 2048MB PC10600 1333Mhz Hynix orig.,Наиболее продаваемый
1938,Футляр для 1 CD slim чёрный лоток,Наиболее продаваемый
1939,"Разъем Noname [RJ11, 4P4C, 1 шт]",Наиболее продаваемый
1940,"Защитный колпачок Noname [RJ45, 1 шт, черный]",Наиболее продаваемый
1941,Память Secure Digital Memory Card 4 Gb (SDHC),Наиболее продаваемый
1942,Картридж HP 122 (CH561HE) для DJ 1050/2050/2050S Black (Ориг.),Наиболее продаваемый
1943,Диск  DVD+R 4.7Gb Slim Case (VS) 16x,Наиболее продаваемый
1944,Память Trans Flash (microSDHC) 8 Gb class 2/4,Наиболее продаваемый
1945,Диск  CD-R 700 Mb Slim Case (TDK) 52x,Наиболее продаваемый
1946,Веб-камера Logitech HD Webcam C270 1280x720 Mic USB,Наиболее продаваемый
1947,"Память USB Flash Transcend JetFlash 300 [2.0, 4 Gb, пластик, черный]",Наиболее продаваемый
1948,Память Kingston (microSDHC) 4 Gb class 2/4 SDC4/4GBSP,Наиболее продаваемый
1949,Термопаста Алсил-3 в шприце 3гр,Наиболее продаваемый
1950,"Шлейф FinePower SATA I,  45/60см",Наиболее продаваемый
1951,Диск  DVD-R 4.7Gb Slim Case (VS) 16x,Наиболее продаваемый
1952,Диск CD-R 700 Mb Slim Case (Verbatim) 52x,Наиболее продаваемый
1953,"ПО ""Kaspersky Internet Security"" версия 2012, продление лицензии на 2 ПК, на 1 год [KL1843ROBFR, KL1843RBBFR]",Наиболее продаваемый
1954,"Разъем Noname [RJ12, 6P6C, 1 шт]",Наиболее продаваемый
1955,Диск  CD-R 700 Mb Slim Case (VS) 52x,Наиболее продаваемый
1956,Маршрутизатор D-Link DIR-615/А/М1А 4x10/100Base-TX + 802.11n (до 300Mbit/s) + 1xWAN,Наиболее продаваемый
1957,"Батарейка Duracell Basic [AAA, Щелочная, 2 шт.]",Наиболее продаваемый
1958,Лицензия Microsoft Windows 7 Home Basic 32-bit/64-bit Русская версия DOEM DVD (наклейка F2C-00400+право),Наиболее продаваемый
1959,"Кабель USB2.0 A (вилка) - B (вилка), 1.8m",Наиболее продаваемый
1960,Память Trans Flash (microSDHC) 4 Gb,Наиболее продаваемый
1961,Память Trans Flash (microSD) 2 Gb,Наиболее продаваемый
1962,Маршрутизатор D-Link DIR-300 NRU/NRA 4x10/100Base-TX + 802.11g (до 150Mbit/s) + 1xWAN,Наиболее продаваемый
1963,"Кабель UTP, 4 пары, одножильный (solid), кат. 5e, 1 метр",Наиболее продаваемый
1964,"Разъем Noname [RJ45, 8P8C, кат. 5e, 1 шт]",Наиболее продаваемый
1965,"15.6"" Ноутбук Acer Aspire 5749-2333G32Mikk (HD) i3 2330M(2.2)/3072/320/Intel HD3000/DVD-SMulti/WiFi/Cam/MS Win7",Средне продаваемый
1966,"GPS Навигатор Explay PN-930 Black-Silver  5""/TFT/480x272/microSD/Bluetooth/WM СЕ6.0 + Navitel",Средне продаваемый
1967,"Кронштейн для TВ Kromax Star-60 [17""-45"", наклон 10 гр, до 45 кг, 6.7см от стены, водяной уровень, цвет darkgrey]",Средне продаваемый
1968,"Наушники Gembird Net-201 [ моногарнитура, микрофон, 50 - 16000 Гц, кабель 1.8м, штекер 3,5мм]",Средне продаваемый
1969,"Радиотелефон Panasonic KX-TG6611RUB [база + трубка,ЖК,АОН, Caller ID, тел. справ. на 50 зап.]",Средне продаваемый
1970,Коврик Nova MicroTECH,Средне продаваемый
1971,"Адаптер беспроводной TP-LINK TL-WN821N USB 802.11n, до 300Mbit/s",Средне продаваемый
1972,Home [0133677] Core i3-2105 (3.1 GHz)/2GB/500GB/DVD±RW/CR/Без ПО,Средне продаваемый
1973,Extreme [0132152] Core i3-2100 (3.1 GHz)/4GB/HD6750 (1024)/1TB/DVD±RW/CR/Без ПО,Средне продаваемый
1974,Память USB 2.0 Flash Team Group 8 Gb C101 ,Средне продаваемый
1975,"Аккумулятор GP 2300 Series [AA, 2250 mAh, ni-mh, 2шт]",Средне продаваемый
1976,"Сетевой фильтр Defender DFS 601 [6 Розеток/1,8 м/10A/(Белый)]",Средне продаваемый
1977,"7"" Электронная книга Digma a700 Black 800х480/TFT/2Gb/Чехол",Средне продаваемый
1978,"Охлаждение для ноутбука DEEPCOOL N300 (Металл+пластик, 200mm вентилятор, 700 rpm, 23 dBA, до 16"") Black",Средне продаваемый
1979,"Картридж Canon CLI-521Y для PIXMA iP3600/iP4600/MP540/MP620/MP630/MP980/MX860 Yellow, (120 стр.),(Ориг.)",Средне продаваемый
1980,"USB-разветвитель GiNZZU (GR-414UB) [2.0, 4-Port, кабель 4,5 см, Черный]",Средне продаваемый
1981,"Монитор Samsung 19"" E1920NR [1280x1024, 1000:1, DC 50000:1, 5 мс, 170гор/160вер, D-Sub]",Средне продаваемый
1982,Видеокарта PCI-E Asus GeForce GT 520 1024MB 64bit DDR3 [ENGT520 SILENT/DI/1GD3 (V2)] DVI D-Sub HDMI Low Profile,Средне продаваемый
1983,"ИБП DNS SMART EURO 650VA (линейно-интерактивный, 650 ВА, 2 роз CEE 7)",Средне продаваемый
1984,"Медиа плеер Asus O!Play HDP-R1 [без HDD, LAN/eSATA/USB(A)]",Средне продаваемый
1985,"Охлаждение для ноутбука DEEPCOOL N2200 (Металл+пластик, 2x140mm вентилятора, 1000 rpm, 25 dBA, до 15,4"", 2xUSB) White",Средне продаваемый
1986,Термопаста Алсил-НАНО в шприце 1.5 гр,Средне продаваемый
1987,"7"" Планшет Digma iDx7 8Gb Black 800x600/TFT/0.8Ghz/512Mb/BT/Cam0,3/A4.0",Средне продаваемый
1988,"БП Gembird 300W (реальная мощность 200W, ATX, CE, 20+4+4 pin) [CCC-PSU1B]",Средне продаваемый
1989,"GPS Навигатор PRESTIGIO GeoVision 5500 5""/TFT/480х272/WM CE 6.0 + Navitel",Средне продаваемый
1990,Смартфон Nokia C5-06 Graphite Black GSM/TFT/360x640/2MPix/40Mb/microSD/GPRS/EDGE/BT/GPS/Symbian 9.4,Средне продаваемый
1991,Диск CD-RW 700 Mb Jewel Case 10 шт. (Verbatim) 8х-12x,Средне продаваемый
1992,Мышь беспроводная DNS HOME WRL-010BH Black USB,Средне продаваемый
1993,Процессор Intel Core i5-2500 3.3GHz (TB up to 3.7GHz)  6Mb 2xDDR3-1333 HDGraphics2000 TDP-95w  LGA1155 BOX w/cooler,Средне продаваемый
1994,"Чехол Riva 7024 (PU), полиуретан, темно-синий (10.2 x 7.0 x 4.2 см)",Средне продаваемый
1995,"Внешний HDD A-Data 500GB [SH93 500Gb] 2.5"" USB 2.0 _",Средне продаваемый
1996,Память DIMM DDR2 2048MBx2 PC8500 1066MHz Kingston HyperX [KHX8500D2K2/4G] Retail,Средне продаваемый
1997,"GPS Навигатор Explay PN-375 Black (4.3""/480x272/WM CE 6.0+Navitel)",Средне продаваемый
1998,Внешний USB2.0 HUB 4-ports high speed DNS\AirTone [ATH-E11 Black] без блока питания,Средне продаваемый
1999,"Монитор DNS 21.5"" H223 [LED, Full HD, 1920x1080, 1000:1, 5мс, 170гор/160вер, D-Sub, DVI]",Средне продаваемый
2000,"Кабель ODT(Toslink, M) - ODT(Toslink, M), 3m, DNS/AirTone, оптический,защ.оплетка",Средне продаваемый
2001,"Вентилятор Thermalright X-Silent 140x140 (900rpm, 60.42 CFM, 20.9dBA, 3-pin)",Средне продаваемый
2002,FM-трансмиттер Ritmix FMT-A951 [AUX/USB/SD],Средне продаваемый
2003,"15.6"" Ноутбук Lenovo G570 (59-319639)(HD) Pentium B960(2.2)/2048/500/Intel HD/DVD-SMulti/WiFi/Cam/MS Win7",Средне продаваемый
2004,"16"" Сумка DNS/AirTone AT-V116 Blue, нейлон, синий",Средне продаваемый
2005,"Кабель HDMI (M) - HDMI (M) Noname, 7,5м. [вер. 1.4]",Средне продаваемый
2006,"6"" Электронная книга Digma e601HD Black 1024х768/E-Ink Pearl HD/2Gb/Чехол",Средне продаваемый
2007,Мышь проводная Logitech LS1 Laser Mouse (910-000863/864/865/1032/1109/1111/1160/1162) USB,Средне продаваемый
2008,"Антенна TP-LINK TL-ANT2405CL внутренняя всенаправленная, 5 dBi, (RP-SMA male)",Средне продаваемый
2009,Смартфон Nokia C7-00 Charcoal Black GSM/3G/AMOLED/640x360/8Мп/8Гб/MicroSD/GPRS/EDGE/WiFi/BT/FM/GPS/Symbian^3,Средне продаваемый
2010,"Кабель SCART (M) - 3xRCA (M), Sparks/Belsis [SG1152/BL1052], композитное видео+стерео-аудио, с переключателем, 1.8 м",Средне продаваемый
2011,Пленка защитная Media Gadget Premium для Nokia N8,Средне продаваемый
2012,"Сетевой фильтр Power Cube для ИБП (5 розеток, 1.8 метра, 10А, серый)",Средне продаваемый
2013,"10.1"" Ноутбук Acer Aspire One AOD257-N57DQkk/Black (WSVGA) Intel Atom N570(1.66)/1024/250/WiFi/Cam/MS Win7 Starter+Andro",Средне продаваемый
2014,"Звуковая карта ASUS ""Xonar DG"" 5.1 PCI Retail",Средне продаваемый
2015,Мышь беспроводная Jet.A OM-U2G 1600dpi Black 2.4GHz USB,Средне продаваемый
2016,Колонки 2.0 SVEN 250 [2 х 3 Вт],Средне продаваемый
2017,Плата ASUS LGA1155 P8H61-M LE/USB3 H61 2xDDR3-1333 1xPCI-E DVI/DSub 8ch 4xSATA 2xUSB3 GLAN mATX,Средне продаваемый
2018,"Адаптер беспроводной ASUS USB-N10 USB2.0 802.11n, до 150Mbit/s",Средне продаваемый
2019,"Монитор Samsung 21.5"" S22A350H [LED, 1920x1080, 1000:1, 2мс, 170гор/160вер, D-Sub, HDMI]",Средне продаваемый
2020,Диск DVD+R 4.7Gb Cake Box  10 шт. (Verbatim) LightScribe 16x,Средне продаваемый
2021,Контроллер 1x LPT Port (1x 25pin F) PCI,Средне продаваемый
2022,"Геймпад DVTech JS35 Vibrо Master [для PC, USB, цвет черный]",Средне продаваемый
2023,"7"" Электронная книга Ritmix RBK-450 Black 800x480/TFT/4Gb/Сенсор/Чехол",Средне продаваемый
2024,Память  xD Memory Card 2 Gb,Средне продаваемый
2025,"Цифровая камера FujiFilm FinePix HS20 Black (16MPix 4608x3456 30xZoom SD/SDHC LCD3.0"" USB 4xAA)",Средне продаваемый
2026,Видеокарта PCI-E GigaByte GeForce GTX 550 Ti 1024MB 192bit GDDR5 [GV-N550OC-1GI] DVI miniHDMI,Средне продаваемый
2027,"Медиа плеер Asus O!Play Mini [без HDD, SD/MMC/MS/xD/USB(A)]",Средне продаваемый
2028,"Монитор Samsung 21.5"" S22A300B [LED, 1920x1080, 1000:1, 5 мс, 170гор/160вер, DVI, D-Sub]",Средне продаваемый
2029,Сотовый телефон Nokia 1616 Red GSM/TFT/128x160/FM,Средне продаваемый
2030,"Колонки 2.0 Defender Mercury 55 / Mercury 55 MKII [2 х 30 Вт, материал дерево]",Средне продаваемый
2031,"Кабель 3xRCA (M) - 3xRCA (M), 1.8 м, Sparks, композитное видео+стерео-аудио",Средне продаваемый
2032,Клавиатура проводная Sven Basic 300 PS/2,Средне продаваемый
2033,"15.6"" Ноутбук Asus (K53Sc)(HD) i5 2430M(2.4)/4096/500/NV GT520MX 1Gb/DVD-SMulti/WiFi/BT/Cam/MS Win7",Средне продаваемый
2034,"Модем 3G USB Мегафон E171/E173 3G/EDGE/GSM/GPRS/HSDPA (до 7,2 Мбит/с), SIM-карта Мегафон в комплекте (Сибирь)",Средне продаваемый
2035,Принтер Epson Stylus Photo T50  (A4  5760х1440dpi  38ppm  печать на CD/DVD  USB2.0),Средне продаваемый
2036,"Привод внеш. DVD±RW Asus (SLIM EXT.DVD-RW Drive) Black DVD-8x/6x/8x, DL-6x, RAM-5x, CD-24x/16x/24x USB 2.0 Slim",Средне продаваемый
2037,Коврик G-Cube GMA-20SS (Golden Aloha - Golden Sunset),Средне продаваемый
2038,"Универсальный адаптер FSP NB 65 (Сеть) (65Вт, 8 переходников)",Средне продаваемый
2039,Диск DVD+R 4.7Gb Cake Box  25 шт. (Verbatim) printable 16x,Средне продаваемый
2040,"Смартфон Nokia C6-01.3 3.2"" 340Mb Silver 1x0.68Ghz/256Mb/360x640/Amoled/3G/GPS/Cam8/Symbian^3",Средне продаваемый
2041,"Привод внеш. DVD±RW Transcend (TS8XDVDRW-K) Black DVD-8x/8x/8x, DL-6x, RAM-5x, CD-24x/24x/24x USB 2.0",Средне продаваемый
2042,"Колонки 2.1 Microlab M890 [сателлиты 2 x 12 Вт, сабвуфер 16 Вт, материал дерево]",Средне продаваемый
2043,Спрей DNS/AirTone Plastic Clean для пластиковых поверхностей 250мл,Средне продаваемый
2044,Видеокарта PCI-E GigaByte GeForce GTX 560 Ti 1024MB 256bit GDDR5 [GV-N560OC-1GI] DVI miniHDMI,Средне продаваемый
2045,Мышь проводная Sven OP-12 800dpi USB,Средне продаваемый
2046,Extreme [0138750] Core i5-2310(2.9GHz)/4GB/GT440 (1024)/1Tb/DVD±RW/CR/Без ПО,Средне продаваемый
2047,Клавиатура проводная A4Tech KRS-86 Keyboard Ergo Multimedia USB,Средне продаваемый
2048,"Жесткий диск SATA-3 1,5Tb WD Green IntelliPower [WD15EARX] Cache 64MB _",Средне продаваемый
2049,"Чехол AirTone AT-W007 Light Violet, полиуретан, сиреневый (12.0 x 8.0 x 3.0 см)",Средне продаваемый
2050,Клавиатура проводная A4Tech KLS-5 Compact Multimedia X-Slim Ergo Silver+Black USB,Средне продаваемый
2051,"Охлаждение для ноутбука DEEPCOOL N18 (Al+пластик, 2x65mm вентилятора, 1600 rpm, 18 dBA, до 14'', 2xUSB) Black",Средне продаваемый
2052,"Пленка защитная MStyle универсальная 7""",Средне продаваемый
2053,"БП Chieftec 650W (реальная мощность 650W, 80+, ATX 2.3, APFC, 140mm fan, CM, 24+4+8, 6xSATA, PCI-E(8+6)) [APS-650C]",Средне продаваемый
2054,"17.3"" [Home] Ноутбук DNS (0140701) (HD+) i3-2330M(2.2)/4096/640/NV GT540M 1Gb/DVD-Smulti/WiFi/BT/Cam/No OS",Средне продаваемый
2055,"15.6"" Сумка DNS/AirTone AT-V415, нейлон, черный",Средне продаваемый
2056,Процессор Intel Pentium E6600 3.06 GHz 1066MHz 2Mb TDP-65w LGA775  OEM,Средне продаваемый
2057,Extreme [0132149]  Phenom II X4 965 (3.4 GHz)/4GB/GTX550 Ti (1024)/1Tb/DVD±RW/CR/Без ПО,Средне продаваемый
2058,Клавиатура проводная Oklick 120M black USB,Средне продаваемый
2059,"Колонки 2.1 Defender Blaze 30 [сателлиты 2 х 8 Вт, сабвуфер 20 Вт, материал дерево]",Средне продаваемый
2060,Принтер Brother HL-2132R  (A4  2400x600dpi  20ppm  8Mb  USB2.0),Средне продаваемый
2061,Плата Gigabyte LGA775 GA-P41T-D3(P) G41/ICH7 2xDDR3-1333 PCI-E 8ch 4xSATA IDE GLAN ATX_,Средне продаваемый
2062,Мышь проводная Logitech B110 Optical Mouse (910-001804) white USB,Средне продаваемый
2063,"Кабель соединительный USB 2.0 A вилка - USB A вилка, 1.8m,  AirTone",Средне продаваемый
2064,Память SODIMM DDR 1024MB PC3200 400MHz для Notebook,Средне продаваемый
2065,Салфетка Techpoint (1143) из микрофибры многоразовая для ухода за TFT и LCD экранами (36x38см),Средне продаваемый
2066,"Кулер CoolerMaster (CP6-9HDSA-0L-GP) (Al+Cu, 2200об/мин,  23.8 dBA, 3-pin)  LGA115x",Средне продаваемый
2067,"Наушники AirTone AT-Y855B [затылочные, откр, 20-20000 Гц, каб 1.2 м, штекер 3.5мм]",Средне продаваемый
2068,"МФУ Epson Stylus  TX219  (Принтер/ Копир/ Сканер:  A4  5760x1440dpi  32ppm  CR  TFT 3,8cm  USB2.0)",Средне продаваемый
2069,МФУ HP Deskjet 3070A e-All-in-One B611b (CQ191C  Принтер/ Копир/ Сканер:  A4  4800x1200dpi  8ppm  Wi-Fi  USB2.0),Средне продаваемый
2070,Сотовый телефон Philips Xenium X622 Gray GSM/2SIM/TFT/320x480/44Mb/5Мп/microSD/GPRS/EDGE/BT/WiFi/Сенсорный дисплей,Средне продаваемый
2071,"11.6"" Сумка Tucano Work Out Netbook (WON), нейлон, чёрный",Средне продаваемый
2072,"СЗУ micro USB InterStep (1А, Черный)",Средне продаваемый
2073,Процессор AMD  Sempron 145 2.8 GHz 1Mb Socket-AM3  OEM,Средне продаваемый
2074,"Смартфон Nokia C6-01.3 3.2"" 340Mb Black 1x0.68Ghz/256Mb/360x640/Amoled/3G/GPS/Cam8/Symbian^3",Средне продаваемый
2075,МФУ Xerox Phaser 3100MFP/S  (Принтер/ Копир/ Сканер:  A4  600x600dpi  20ppm  32MB  USB2.0),Средне продаваемый
2076,Видеокарта PCI-E Zotac GeForce GTX 550 Ti 1024MB 192bit GDDR5 [ZT-50401-10L] DVI HDMI DisplayPort,Средне продаваемый
2077,Маршрутизатор TP-LINK TL-MR3420 3G 4x10/100Base-TX 802.11n/g/b до 300Mbps с поддержкой 3G,Средне продаваемый
2078,Мышь беспроводная A4Tech G7-400N-2 V-Track Black+Red USB,Средне продаваемый
2079,"Вентилятор ZALMAN ZM-F3BL Вентилятор для моддинга 120мм ""синяя подсветка"", 120*120*25, подшипник",Средне продаваемый
2080,Плёнки для ламинирования Fellowes (FS-53061) [A4\80 мкм] глянцевые (100 л.),Средне продаваемый
2081,Видеокарта PCI-E Asus GeForce 210 512MB 64bit DDR3 [EN210 SILENT/DI/512MD3 (V2)/LP] DVI D-Sub HDMI Low Profile,Средне продаваемый
2082,Мышь беспроводная A4Tech G7-300N-1 V-Track Black USB,Средне продаваемый
2083,"Футляр InterStep Pocket р90 универсальный, и/кожа, белый",Средне продаваемый
2084,Клавиатура проводная Microsoft Comfort Curve Keyboard 2000 Black USB (B2L-00069),Средне продаваемый
